feature,post_vs_cutoff_smd,error_vs_correct_smd,cutoff_mean,post_mean,correct_mean,error_mean
path_prev1_b7_p05,-0.07342194717714857,0.07648152215645419,13632.885482464528,13310.487753509473,13308.961897553148,13641.724666675269
path_prev1_b7_p95,-0.05706788722006423,0.057215982333516074,18221.913763760964,17946.110038817733,17949.83122603568,18214.765591651838
path_prev2_zero_fraction,0.02419683620641505,-0.044577535541568604,0.0005905665035475266,0.0008212372019067455,0.0008614765691716474,0.00046967839929616917
path_prev2_extreme_fraction,0.3386961350753649,0.04485917578158788,0.011337510570952074,0.05087725998664659,0.03914874029168212,0.0451240744630718
path_prev2_b1_mean,0.32524787078387274,0.12830254702329172,10607.359327014628,12486.685127954943,11786.144934229464,12631.962535701536
path_prev2_b1_std,0.45892235667241515,0.13905089752193792,729.8053287413389,1618.6828632347724,1305.0647058160012,1635.5356714942548
path_prev2_b1_p05,0.08747976895391066,0.068911631447319,9587.911818804712,9948.720537317002,9779.455692711588,10078.362800570907
path_prev2_b1_p95,0.4093487529890216,0.14283122051824174,11863.098545234898,15053.776157338474,13895.832088456404,15208.48297342711
path_prev2_b2_mean,0.3213421497707967,0.13247357193223788,11252.413725570459,13127.680813676807,12419.913988277915,13298.22040834328
path_prev2_b2_std,0.4648968768639538,0.1427794491956586,807.4652776755091,1740.2488492340824,1409.5062457162956,1762.713883643404
path_prev2_b2_p05,0.06833516484787332,0.06884631974370728,10138.783802550863,10421.235212265785,10272.778910471528,10569.402564506709
path_prev2_b2_p95,0.4097933804878479,0.14770463013416657,12654.419144494788,15902.474087963157,14712.632763323401,16092.371036754801
path_prev2_b3_mean,0.28700742874631663,0.13985983031480453,12997.641118440968,14578.824664421096,13952.50712526067,14809.079852375547
path_prev2_b3_std,0.4613898234437861,0.1428365614903132,985.4676146042016,1840.1488509397323,1536.7187420562432,1861.8470203654335
path_prev2_b3_p05,0.0350035088824008,0.08069477762370662,11612.144171566106,11753.282813384594,11632.329007540287,11964.195252650246
path_prev2_b3_p95,0.3861888072678893,0.15588152264662114,14705.128725109524,17555.97948745071,16479.529556506357,17816.634528387603
path_prev2_b4_mean,0.2869712668095699,0.14442715103252507,14107.711369540331,15828.519698518794,15144.107909739272,16087.266070048921
path_prev2_b4_std,0.45949553178803354,0.13841676534091912,1255.7396534546533,2127.876830319006,1821.092456801804,2141.698345707298
path_prev2_b4_p05,0.051099485059096124,0.0855895429017933,12297.1762777266,12540.354248874242,12372.356471708697,12785.515091194062
path_prev2_b4_p95,0.3937410787938268,0.16145096132648723,16245.684999171006,19270.115602348393,18127.564049737495,19548.27932756472
path_prev2_b5_mean,0.06759713298370518,0.047719598653169264,18760.051908132264,19096.3712420477,18944.05051629026,19201.2489286053
path_prev2_b5_std,0.42794147698296536,0.1147724051131135,1453.9724641968223,2154.873999074096,1916.6661598054436,2141.568108666586
path_prev2_b5_p05,-0.18223064714979145,-0.01686232288825061,16402.852601692866,15628.697927440893,15847.180461677011,15773.975966379807
path_prev2_b5_p95,0.22728076933958605,0.08467921345909711,21072.090768182155,22519.935615610804,21989.988943172808,22603.313463566654
