seed,period,n,f1,auroc
46,full,4592,0.7707317073170732,0.8651830325336576
46,cutoff,1410,0.7857142857142857,0.8821306109725686
46,post,3182,0.7643354325488896,0.8565950296593953
47,full,4592,0.7765635898628226,0.8703125767737814
47,cutoff,1410,0.7867078825347759,0.8869540786192414
47,post,3182,0.7721982041902228,0.8623265882127823
48,full,4592,0.7676579925650557,0.8635162737384532
48,cutoff,1410,0.7836166924265843,0.8832318873867963
48,post,3182,0.760797342192691,0.8538060897435896
49,full,4592,0.7692307692307693,0.8641144374631486
49,cutoff,1410,0.7891891891891892,0.887829767686048
49,post,3182,0.7606752730883813,0.8520018098609518
