id,plume_id,mask_pixels,swir_nd_true_contrast,swir_nd_shifted_contrast,b11_true_contrast,b11_shifted_contrast,b12_true_contrast,b12_shifted_contrast,visible_true_contrast,visible_shifted_contrast
16410,GAO20201115t183718p0000-A,12946,-0.4614954826051307,0.17814447222910873,0.9157158225142237,-0.7041937986398847,0.9804248195115401,-0.6332676183112591,1.268074785787252,-0.07678082610599857
83934,ang20160919t193800-A,1123,0.10515658618036652,-0.5431417680682089,0.05972959049812988,0.3628305733834676,0.08052121862450272,0.44423657806132694,0.4395811009625499,0.4628710208402981
76466,GAO20240611t190030p0000-B,6123,-0.10926027052746955,0.17648306268646116,-0.7919972939463741,0.3473479913172598,-0.6918663796341707,0.18972129881647315,-0.6915402130490858,0.1551889304905311
98202,ang20191023t154154-7,12146,-0.21625998823056317,0.489262417158478,1.1428042705993828,-0.6268673414542394,0.9200690794401325,-0.5992990020381822,1.8959325693905797,-0.6325530988504862
110690,ang20220610t194646-B,25219,0.7141424906324821,-0.10528785261960484,-0.6230395518955059,0.4896540864508673,-0.7345805539768661,0.5454215852705687,-0.7576162167027414,0.5618663320050256
84380,ang20161006t175913-A,1099,0.02662777509251785,0.4496692599025514,-0.5235064644265728,0.032571602313739234,-0.5075044836420338,-0.10109128386984197,-0.36967132225441346,0.8161565674429867
248238,tan20250722t080219c07s4001-Q,19319,0.05785290764691526,0.2848474075873218,-0.33991131523414836,0.2609864968761822,-0.4725680802756206,0.2039531281277594,-0.05868287570483978,0.5342891904064638
216404,tan20241227t174829c00s4001-R,11058,-0.053164277730766964,0.36104877305088173,-0.28759151586313636,-0.2975909370470783,-0.20584800381308618,-0.3156901703163837,0.0628516497398049,-0.2209893893430107
261896,tan20251003t184027c47s4001-AA,6232,0.5788418645225757,-0.41429763091150196,0.2053300566632813,0.15149460701592135,-0.011065696792513919,0.21874670984157754,0.9334817243771016,-0.022898022866161046
71339,GAO20240514t153110p0000-I,3438,3.2972215997848107,0.26538728534284084,4.676094430414378,-0.27283539191138834,4.11894607326862,-0.32225413942990816,7.554083824912544,-0.3050975864123789
98803,ang20191023t165811-B,2038,0.15944784105903526,0.3939406022818835,0.6617651091715842,-0.6791150219379363,0.5830586028049211,-0.687397185907175,0.585493588759552,-0.6995996820333172
