plume_id,has_all6_files,has_all6_center_nonzero,zero_or_missing_timepoints
GAO20220923t164450p0000-B,True,True,0
GAO20220923t164450p0000-C,True,True,0
GAO20220923t170108p0000-A,True,True,0
GAO20220923t171045p0000-A,True,True,0
GAO20220923t172122p0000-A,True,True,0
GAO20220923t172122p0000-B,True,True,0
GAO20220923t173123p0000-A,True,True,0
GAO20220923t174201p0000-A,True,True,0
GAO20220923t174201p0000-B,True,True,0
GAO20220923t175137p0000-A,True,True,0
GAO20220923t175137p0000-B,True,True,0
GAO20220923t180207p0000-A,True,True,0
GAO20220923t182706p0000-A,True,True,0
GAO20220928t164641p0000-A,True,True,0
GAO20220928t165119p0000-A,True,True,0
GAO20220928t165807p0000-A,True,True,0
GAO20220928t170324p0000-A,True,True,0
GAO20220928t170821p0000-A,True,True,0
GAO20220928t172257p0000-A,True,True,0
GAO20220928t182922p0000-A,True,True,0
GAO20220928t193622p0000-A,True,True,0
GAO20220928t195023p0000-A,True,True,0
GAO20220928t195526p0000-A,True,True,0
GAO20220928t200357p0000-A,True,True,0
GAO20220928t200357p0000-B,True,True,0
GAO20220928t200806p0000-A,True,True,0
GAO20220928t201225p0000-A,True,True,0
GAO20220928t201225p0000-B,True,True,0
GAO20220928t201644p0000-B,True,True,0
GAO20220928t202112p0000-A,True,True,0
GAO20221017t184522p0000-B,True,True,0
GAO20221017t184522p0000-C,True,True,0
GAO20221017t185010p0000-A,True,True,0
GAO20221020t185539p0000-A,True,True,0
GAO20221020t190520p0000-A,True,True,0
GAO20221020t200626p0000-A,True,True,0
GAO20221020t202758p0000-A,True,True,0
GAO20230430t171617p0000-A,True,True,0
GAO20230430t171617p0000-B,True,True,0
GAO20230430t171617p0000-C,True,True,0
GAO20230430t173028p0000-A,True,False,2
GAO20230430t173747p0000-D,True,True,0
GAO20230430t175318p0000-A,True,True,0
GAO20230430t180128p0000-M,True,True,0
GAO20230430t180128p0000-N,True,True,0
GAO20230430t185208p0000-A,True,False,2
GAO20230430t185208p0000-B,True,False,2
GAO20230430t190032p0000-A,True,True,0
GAO20230430t190032p0000-B,True,False,4
GAO20230430t190032p0000-G,True,True,0
GAO20230430t190702p0000-A,True,True,0
GAO20230430t190702p0000-B,True,True,0
GAO20230430t190702p0000-C,True,True,0
GAO20230504t170652p0000-A,True,True,0
GAO20230504t170652p0000-B,True,True,0
GAO20230504t171112p0000-A,True,True,0
GAO20230504t172357p0000-A,True,True,0
GAO20230504t180217p0000-C,True,True,0
GAO20230509t172829p0000-A,True,True,0
GAO20230509t172829p0000-C,True,True,0
GAO20230509t175136p0000-A,True,True,0
GAO20230509t175834p0000-B,True,True,0
GAO20230612t170617p0000-A,True,False,3
GAO20230614t185623p0000-A,True,True,0
GAO20230614t185623p0000-B,True,True,0
GAO20230614t190924p0000-A,True,True,0
GAO20230614t190924p0000-C,True,True,0
GAO20230614t191729p0000-A,True,True,0
GAO20230614t191729p0000-C,True,True,0
GAO20230614t191729p0000-D,True,True,0
GAO20230614t191729p0000-E,True,True,0
GAO20230614t191729p0000-F,True,True,0
GAO20230614t191729p0000-H,True,True,0
GAO20230614t192749p0000-A,True,True,0
GAO20230614t193553p0000-B,True,True,0
GAO20230614t193553p0000-C,True,True,0
GAO20230614t193553p0000-E,True,True,0
GAO20230614t193553p0000-F,True,True,0
GAO20230614t193553p0000-G,True,True,0
GAO20230614t193553p0000-H,True,True,0
GAO20230614t200443p0000-A,True,True,0
GAO20230614t200443p0000-B,True,True,0
GAO20230615t192609p0000-B,True,True,0
GAO20230616t185940p0000-A,True,True,0
GAO20230616t185940p0000-B,True,True,0
GAO20230616t191224p0000-A,True,True,0
GAO20230616t191224p0000-B,True,True,0
GAO20230616t194749p0000-A,True,True,0
GAO20230616t195321p0000-A,True,True,0
GAO20230616t195919p0000-A,True,False,4
GAO20230616t195919p0000-B,True,True,0
GAO20230616t200459p0000-B,True,True,0
GAO20230621t194657p0000-A,True,True,0
GAO20230621t194657p0000-B,True,True,0
GAO20230626t201612p0000-A,True,True,0
GAO20230626t202212p0000-B,True,True,0
GAO20230626t202807p0000-A,True,True,0
GAO20230626t202807p0000-B,True,True,0
GAO20230626t203327p0000-A,True,True,0
GAO20230626t204012p0000-A,True,True,0
GAO20230626t204557p0000-A,True,False,6
GAO20230626t204557p0000-B,True,False,6
GAO20230626t204557p0000-C,True,True,0
GAO20230626t204557p0000-E,True,True,0
GAO20230626t204557p0000-F,True,True,0
GAO20230626t204557p0000-G,True,True,0
GAO20230626t205153p0000-A,True,True,0
GAO20230711t195220p0000-A,True,True,0
GAO20230713t194729p0000-A,True,True,0
GAO20230713t201929p0000-A,True,True,0
GAO20230713t201929p0000-B,True,True,0
GAO20230713t201929p0000-C,True,True,0
GAO20230713t202354p0000-B,True,True,0
GAO20230713t202354p0000-C,True,True,0
GAO20230713t202354p0000-D,True,True,0
GAO20230713t203344p0000-A,True,True,0
GAO20230713t203344p0000-B,True,True,0
GAO20230713t205034p0000-A,True,True,0
GAO20230715t210120p0000-A,True,True,0
GAO20230715t210120p0000-B,True,True,0
GAO20230718t195144p0000-A,True,True,0
GAO20230718t200914p0000-A,True,True,0
GAO20230718t200914p0000-C,True,True,0
GAO20230718t200914p0000-D,True,True,0
GAO20230718t203120p0000-A,True,True,0
GAO20230718t203120p0000-B,True,True,0
GAO20230718t203120p0000-C,True,True,0
GAO20230718t203531p0000-A,True,True,0
GAO20230718t203531p0000-B,True,True,0
GAO20230718t203531p0000-C,True,True,0
GAO20230718t205744p0000-A,True,True,0
GAO20230718t211446p0000-A,True,True,0
GAO20230720t193208p0000-B,True,True,0
GAO20230720t193208p0000-C,True,True,0
GAO20230720t210343p0000-A,True,True,0
GAO20230720t211143p0000-A,True,False,5
GAO20230720t213013p0000-A,True,False,1
GAO20230720t213013p0000-B,True,True,0
GAO20230721t220833p0000-A,True,True,0
GAO20230817t175345p0000-A,True,True,0
GAO20230817t175345p0000-B,True,True,0
GAO20230817t175345p0000-C,True,False,1
GAO20230817t175345p0000-D,True,True,0
GAO20230817t175345p0000-E,True,True,0
GAO20230817t180151p0000-A,True,False,1
GAO20230817t180905p0000-A,True,True,0
GAO20230817t180905p0000-B,True,False,1
GAO20230817t180905p0000-E,True,True,0
GAO20230817t181525p0000-A,True,False,1
GAO20230817t181525p0000-B,True,False,1
GAO20230817t181525p0000-C,True,True,0
GAO20230817t182218p0000-A,True,True,0
GAO20230817t182218p0000-B,True,False,1
GAO20230817t182833p0000-A,True,False,1
GAO20230817t182833p0000-B,True,True,0
GAO20230817t182833p0000-C,True,True,0
GAO20230817t182833p0000-D,True,True,0
GAO20230817t183514p0000-A,True,True,0
GAO20230817t183514p0000-C,True,True,0
GAO20230817t184135p0000-B,True,True,0
GAO20230817t184135p0000-C,True,False,1
GAO20230817t184823p0000-A,True,True,0
GAO20230817t184823p0000-B,True,True,0
GAO20230817t185548p0000-A,True,True,0
GAO20230817t185548p0000-B,True,True,0
GAO20230817t185548p0000-C,True,True,0
GAO20230817t185548p0000-D,True,True,0
GAO20230819t174128p0000-A,True,False,1
GAO20230819t174128p0000-C,True,True,0
GAO20230819t174128p0000-D,True,False,5
GAO20230819t174128p0000-H,True,True,0
GAO20230819t174128p0000-I,True,True,0
GAO20230819t175813p0000-A,True,True,0
GAO20230819t175813p0000-B,True,True,0
GAO20230819t175813p0000-C,True,True,0
GAO20230819t175813p0000-D,True,False,1
GAO20230819t175813p0000-E,True,True,0
GAO20230819t175813p0000-G,True,True,0
GAO20230819t175813p0000-H,True,True,0
GAO20230819t181723p0000-A,True,True,0
GAO20230819t182358p0000-A,True,True,0
GAO20230819t182358p0000-C,True,True,0
GAO20230819t183045p0000-B,True,True,0
GAO20230819t183045p0000-C,True,False,1
GAO20230819t183643p0000-A,True,False,1
GAO20230819t184403p0000-A,True,True,0
GAO20230819t184403p0000-B,True,True,0
GAO20230819t184403p0000-C,True,True,0
GAO20230819t185009p0000-C,True,False,1
GAO20230819t185009p0000-E,True,True,0
GAO20230819t185649p0000-A,True,True,0
GAO20230819t185649p0000-C,True,True,0
GAO20230819t185649p0000-D,True,True,0
GAO20230819t190243p0000-A,True,True,0
GAO20230819t190243p0000-B,True,True,0
GAO20230819t190243p0000-D,True,True,0
GAO20230819t190243p0000-G,True,True,0
GAO20230819t190243p0000-I,True,True,0
GAO20230819t190243p0000-M,True,True,0
GAO20230819t190243p0000-R,True,False,1
GAO20230819t190914p0000-B,True,True,0
GAO20230819t190914p0000-H,True,False,2
GAO20230819t190914p0000-J,True,True,0
GAO20230819t190914p0000-O,True,True,0
GAO20230819t191528p0000-A,True,True,0
GAO20230819t191528p0000-B,True,True,0
GAO20230819t191528p0000-D,True,True,0
GAO20230819t191528p0000-F,True,True,0
GAO20230819t191528p0000-G,True,True,0
GAO20230819t191528p0000-I,True,True,0
GAO20230819t192214p0000-B,True,True,0
GAO20230819t192214p0000-C,True,True,0
GAO20230819t192214p0000-D,True,True,0
GAO20230819t192214p0000-F,True,False,5
GAO20230819t192818p0000-B,True,False,5
GAO20230819t192818p0000-C,True,False,5
GAO20230819t192818p0000-N,True,True,0
GAO20230819t193458p0000-A,True,False,5
