plume_id,event_group_id,status,reason,physical_t0,gee_only_t0,physical_prev1,gee_only_prev1,physical_prev2,gee_only_prev2,physical_prev3,gee_only_prev3,physical_seasonal,gee_only_seasonal,physical_year,gee_only_year,physical_raw_cm_mask
GAO20200715t180121p0000-D,GAO20200715t180121p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t180121p0000-E,GAO20200715t180121p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t180121p0000-F,GAO20200715t180121p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t180121p0000-G,GAO20200715t180121p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0000-A,GAO20200715t182609p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0000-B,GAO20200715t182609p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0000-C,GAO20200715t182609p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0000-E,GAO20200715t182609p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0000-I,GAO20200715t182609p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0000-J,GAO20200715t182609p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0000-K,GAO20200715t182609p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t182609p0001-A,GAO20200715t182609p0001,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-A,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-B,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-C,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-D,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-E,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-F,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-G,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0000-H,GAO20200715t184712p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0001-A,GAO20200715t184712p0001,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0001-B,GAO20200715t184712p0001,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0001-C,GAO20200715t184712p0001,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t184712p0001-D,GAO20200715t184712p0001,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
