plume_id,status,reason
GAO20230718t200914p0000-A,ok,
GAO20230718t200914p0000-C,ok,
GAO20230718t200914p0000-D,ok,
GAO20230718t203120p0000-A,ok,
GAO20230718t203120p0000-B,ok,
GAO20230718t203120p0000-C,ok,
GAO20230718t203531p0000-A,ok,
GAO20230718t203531p0000-B,ok,
GAO20230718t203531p0000-C,ok,
GAO20230718t205744p0000-A,ok,
GAO20230718t211446p0000-A,ok,
GAO20230720t193208p0000-B,ok,
GAO20230720t193208p0000-C,ok,
GAO20230720t210343p0000-A,ok,
GAO20230720t211143p0000-A,ok,
GAO20230720t213013p0000-A,ok,
GAO20230720t213013p0000-B,ok,
GAO20230721t220833p0000-A,ok,
GAO20230817t175345p0000-A,ok,
GAO20230817t175345p0000-B,ok,
GAO20230817t175345p0000-C,ok,
GAO20230817t175345p0000-D,ok,
GAO20230817t175345p0000-E,ok,
GAO20230817t180151p0000-A,ok,
GAO20230817t180905p0000-A,ok,
GAO20230817t180905p0000-B,ok,
GAO20230817t180905p0000-E,ok,
GAO20230817t181525p0000-A,ok,
GAO20230817t181525p0000-B,ok,
GAO20230817t181525p0000-C,ok,
GAO20230817t182218p0000-A,ok,
GAO20230817t182218p0000-B,ok,
GAO20230817t182833p0000-A,ok,
GAO20230817t182833p0000-B,ok,
GAO20230817t182833p0000-C,ok,
GAO20230817t182833p0000-D,ok,
GAO20230817t183514p0000-A,ok,
GAO20230817t183514p0000-C,ok,
GAO20230817t184135p0000-B,ok,
GAO20230817t184135p0000-C,ok,
GAO20230817t184823p0000-A,ok,
GAO20230817t184823p0000-B,ok,
GAO20230817t185548p0000-A,ok,
GAO20230817t185548p0000-B,ok,
GAO20230817t185548p0000-C,ok,
GAO20230817t185548p0000-D,ok,
GAO20230819t174128p0000-A,ok,
GAO20230819t174128p0000-C,ok,
GAO20230819t174128p0000-D,ok,
GAO20230819t174128p0000-H,ok,
GAO20230819t174128p0000-I,ok,
GAO20230819t175813p0000-A,ok,
