plume_id,timepoint,status,task_id,task_state,drive_folder,file_prefix,collection,bands,target_time_utc,query_start_utc,query_end_utc,selected_time_utc,selected_id,cloud_pct,nodata_pct,plume_latitude,plume_longitude,message
GAO20191023t185601p0000-E,seasonal,submitted,TOHFQHQTQUTQFYJC2QDDDZUO,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t185601p0000-E_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-25T00:00:00Z,2019-09-23T00:00:00Z,2019-08-09T17:45:13Z,20190809T172909_20190809T174425_T13SFR,8.454438,0,31.8909307,-102.78305,submitted; candidates=12; source=legacy_seasonal_event_day_window
GAO20191023t192246p0000-B,seasonal,submitted,HL6MD4OFJSNFUUNZSC46XQHR,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t192246p0000-B_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-25T00:00:00Z,2019-09-23T00:00:00Z,2019-07-25T17:45:26Z,20190725T172901_20190725T174145_T13RFQ,16.692002,0,31.644076,-103.15134,submitted; candidates=11; source=legacy_seasonal_event_day_window
GAO20191023t192246p0000-A,year,submitted,WNI4WPVBH5TLPTQXWNIP47RT,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t192246p0000-A_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-24T00:00:00Z,2018-11-22T00:00:00Z,2018-08-24T17:44:58Z,20180824T172849_20180824T173639_T13SFR,12.302102,0,31.758507,-102.94863,submitted; candidates=10; source=legacy_year_event_day_window
GAO20191023t190806p0000-D,year,submitted,BCUKJ46VR5PDRBY335444A2H,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t190806p0000-D_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-24T00:00:00Z,2018-11-22T00:00:00Z,2018-08-24T17:45:13Z,20180824T172849_20180824T173639_T13RFQ,2.071247,0,31.577028,-103.26399,submitted; candidates=21; source=legacy_year_event_day_window
GAO20191023t192246p0000-C,year,submitted,YRG5TOVMVE35BX2JE5RVYFFN,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t192246p0000-C_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-24T00:00:00Z,2018-11-22T00:00:00Z,2018-08-24T17:45:13Z,20180824T172849_20180824T173639_T13RFQ,2.071247,0,31.577044,-103.26393,submitted; candidates=21; source=legacy_year_event_day_window
GAO20191023t190806p0000-B,t0,submitted,OR6CWASEJUSJ4OPW2LTEP7K7,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t190806p0000-B_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-23T19:08:06Z,2019-10-22T00:00:00Z,2019-10-25T00:00:00Z,2019-10-23T17:45:24Z,20191023T173401_20191023T173406_T13RFQ,0.001672,0,31.643852,-103.15159,submitted; candidates=2; source=legacy_t0_event_day_window
GAO20191023t190806p0000-B,year,submitted,O5LVU4EX2JDCCI772HKNOL2U,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t190806p0000-B_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-24T00:00:00Z,2018-11-22T00:00:00Z,2018-08-24T17:45:13Z,20180824T172849_20180824T173639_T13RFQ,2.071247,0,31.643852,-103.15159,submitted; candidates=21; source=legacy_year_event_day_window
GAO20191023t192246p0000-C,seasonal,submitted,ENW2P3WVGYTPIT447WYR42HH,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t192246p0000-C_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-25T00:00:00Z,2019-09-23T00:00:00Z,2019-07-25T17:45:26Z,20190725T172901_20190725T174145_T13RFQ,16.692002,0,31.577044,-103.26393,submitted; candidates=11; source=legacy_seasonal_event_day_window
GAO20191023t192246p0000-B,year,submitted,KD2ZEI6KE4IPEU2FUSFVUQ3C,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t192246p0000-B_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-24T00:00:00Z,2018-11-22T00:00:00Z,2018-08-24T17:45:13Z,20180824T172849_20180824T173639_T13RFQ,2.071247,0,31.644076,-103.15134,submitted; candidates=21; source=legacy_year_event_day_window
GAO20191023t190806p0000-D,seasonal,submitted,XQ67BWRANZLV6AZOOQKD4P6V,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191023t190806p0000-D_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-25T00:00:00Z,2019-09-23T00:00:00Z,2019-07-25T17:45:26Z,20190725T172901_20190725T174145_T13RFQ,16.692002,0,31.577028,-103.26399,submitted; candidates=11; source=legacy_seasonal_event_day_window
